signature,mint,hero_number,hero_name,block_time,utc,sale_date,sale_month,sale_year,marketplace,marketplace_detail,marketplace_attribution_method,direct_program_families,buyer,seller,gross_price_sol,gross_price_method,price_recovered_in_v3,sale_class,legacy_sale,royalty_90_sol,royalty_10_sol,royalty_total_sol,royalty_paid
2o9KK3YePdoQvkyj2nwVdNWJS1WREyRWtSnjz3Did23HfoXZ7znFRzRS3R9zuj7SjGATEiWHYRuv1qavL2ZfaSw8,3k1deT3acfhA964jA1AUqNNY4uUYmm5EwZhvNXkibKa8,7073,Guild Hero #7073,1645814042,2022-02-25T18:34:02+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,DB6SqMearXgpxsS8fyUUCCep8BxKXhjSHVH4sS2xeWFF,2.9,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.1566,0.0174,0.174,1
sauCTXeKMj57BzdAYtFWiwrog7y5HQeW9wscgAKJk9AdNG4aJGMLz5cQ3jNYHSEUgjzCkQgHZUo28CMrpKfVqgv,6jdKVVtwRUezpbMbxgCUcNRrjAAsFgkKN9UBrFah1xjJ,7181,Guild Hero #7181,1645814042,2022-02-25T18:34:02+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,svjWBNoaQ13odVE6TDiGDKB1kSpC9ftpdTjcb52JsfR,1.66,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.08964,0.00996,0.0996,1
3LatHeuQC2shR1Nnj3zac3uVJfPNhssCqDR9jSsYdH8KxrrmqBCHLna2ppuTkcRDXeFc6AHn546M49kTnvXTHziT,Hycd7wDSv84F2pFZAxcyi7fmEgtgTuUbqHR933SKS79v,4267,Guild Hero #4267,1645814049,2022-02-25T18:34:09+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,9kMZmfmqCq6DDFy1KCrd6ymUME9vfzMusPEPpJKu83P,3,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.162,0.018,0.18,1
5Do9Sseg7WFFd8d4hmTHgoTyfY2BS7CFLfxY5o5osLYzFoSx2rPKeT2tnLSCTw3ShG7kg8Ja6hgHybSn4yTeg2SP,5462b8ZTaoAmkRVWv9LFe3TSihwXYjMyv6zWFAEzwM4y,9781,Guild Hero #9781,1645814049,2022-02-25T18:34:09+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,GZxz5W4rsKdv4LU5qKbyT6uB9imLQN8WC44D3Y8NJ1rC,2.3,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.1242,0.0138,0.138,1
24CEVXveT9yEVN226YsB8fGu6rFGNF6CSXsvs4KtxXzGcq7M4rkyuihZqUCtZwHQjDfnvv1S4TSnXfiLJ5aJn7c5,B4EAPMbEeTeBVdv8AfiQtvXuHYQsid9cDoyobvbHkojw,2688,Guild Hero #2688,1645814056,2022-02-25T18:34:16+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,7f8E7JvgTXfA3PBcu3GxLrhR5jAnJmkjK13tE18iPLFm,2.1,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.1134,0.0126,0.126,1
2AnAfyz7SyMkkywc9Rz2nNLq8xizQPKWuvxH7MpgRLq61swVgW9BTdfaNnbchEU7cUdaX4R5SHQSqTYCyJFZnZGR,5Lsbnfd7fwUbSN892s5fNPegFPXrqWmDqWBGN7KL5fEA,3482,Guild Hero #3482,1645814074,2022-02-25T18:34:34+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,Cw97ZWctHeEsoLZDfw3e6dZhNNDkj1tZbfo6BRCsTo44,4ZDngohsGDLyCUsNkdRxmv2X6LWPmnQQrhn4mJEvLhgN,2.2,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.1188,0.0132,0.132,1
5hmJEwXqjfy9KFVkopCkxTTNyoqasazMWjFqRhGUw5KkEx15fJzk2owr2PCcU1dkjWtA83iKWg4a8Ez4nFGX65sZ,HzAVZHKzF1jLtUUZ1WTHJMphN34xpLY2RSC4LrYaAdwS,428,Guild Hero #428,1645814074,2022-02-25T18:34:34+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,AA4ybqxVnAfs3KRzbXr4LGJqxXbyBFzyz4GcJLrck8r4,A6qH8847vcxf2KZuAquUmF1umT29nqdxQ8PiyjZE19gJ,2,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.108,0.012,0.12,1
4B4iWqbGKiRQzA99tdxCcE8cBnMcML7wxXooD9L7zY4GJ2em9G8XLpdUBTPBXbZhbE9DUUtvpuN8EmkckGNAiJdW,6A7iibChXATvP4z35BEyhTwRXTjVovYvCajgzErfXgZB,8392,Guild Hero #8392,1645814083,2022-02-25T18:34:43+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,7bLHoJsyZQT5FfnujRa38kcj6FbBs8JfeFtJYqUTpEEZ,3.5,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.189,0.021,0.21,1
5LYUxAV8FBay5HHeSsJzMrazhnPDVrkBGp1wCz11cE3nQMPV6K7abhtrHcTwHs1DoUhbx8CmyufdaG8sQqhGzLgk,6mMuMRnPUrLcRtjfXPnzJdoLQbPQWqRpY1n9aHuMFrTA,1907,Guild Hero #1907,1645814083,2022-02-25T18:34:43+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,63H9WhpTXXPJY9bwVvY7gRN5jDgFU7wmN8BxF519q5nA,4,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.216,0.024,0.24,1
TAYbC16M9B2PfUYVRKnDmHZPnMosPsczFiQAFhKGC4xjruD75PVfaVo4eFC5BY4McoPLS9Qc2bEzoFNAmQ8vqpB,FomrwEXykXKDZwef1rJN8yf58fQd5TysdiyLJ1F9egZE,8870,Guild Hero #8870,1645814083,2022-02-25T18:34:43+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,GZxz5W4rsKdv4LU5qKbyT6uB9imLQN8WC44D3Y8NJ1rC,3.6,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.1944,0.0216,0.216,1
3mNdk2ifja6XzKKPjBLXtsu1ZeTNnEidyF8HFEPpBSQUW2UVZW52wCzobKt9asqdWQ9dAcQqYvCAy7x1HuNyeibh,C8khhM4oCKNqXVPbES2z9AdTTTi2CrvJvXt3L4uGhgTc,6030,Guild Hero #6030,1645814084,2022-02-25T18:34:44+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,AA4ybqxVnAfs3KRzbXr4LGJqxXbyBFzyz4GcJLrck8r4,BF3eMvgy28uQ4edVCqV7jTCjgmGeFsFTWaCjcCsTFPEU,1.8,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.0972,0.0108,0.108,1
Jry4WXn52bWczyoSUkSwy2ENk67rH138TF7PfwPYQvCVJGm1o3sF7nzZGLznkirTHcEcgrSZwx6UMRsGMN5Hd3b,DjoFBSV6MUFYdkNJgL75QNuJr22JB6kq533qaM5UufM5,6284,Guild Hero #6284,1645814084,2022-02-25T18:34:44+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,GYuhH9MZ5Sp9jDMnrL8XuVAjQrDyCkcDUoBk5ngCvXSc,3.5,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.189,0.021,0.21,1
3gdu6585YWQnYJ5ftLKeP2QKYWymQ498AQNiYnTaRcLdfUqhPVpU6VbYx2CZwEeA2KjCbSwPdh5xLgLymAqa8Jhp,DarFLYPCR8hzn5eiQv4mzouXTk4tYzwM3QsiT7WBD7M1,7999,Guild Hero #7999,1645814085,2022-02-25T18:34:45+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,7hc1yegMca3u6D6N6YRBnzW1ZJnaV9EGrvFMyeH4uH42,4,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.216,0.024,0.24,1
4MmSyf979t2mtArgHEtiB2N2D5UiJ8cCJVpTkYX795hYMxJ32ftrVzvSDBGa64NpvTxxuDL76zViBmxuEcQhNMuE,Dabp9wzQPPnvCChSyhDcoeFruLTeL13hygvd9q4pZj52,6658,Guild Hero #6658,1645814086,2022-02-25T18:34:46+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,CMgimVsmmNLrevoCUaYcvPNWJA7YnjN1aQpQFgrnJUPi,2.5,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.135,0.015,0.15,1
1mZB4bMGPYgs7XARwRnijAgkQcomykPHYFXWM9tkfrCkJJMuuvbZ9npWeX7EVUu4SgWCEiG4Sisde3mKQgt72jd,5M6MArwTKGtEPScWWEASknBBWybyvbrAAi3N4H4WWabq,8384,Guild Hero #8384,1645814089,2022-02-25T18:34:49+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,5tcmH1dnyZxTTAND1xfKHXVjP8JpPouFggBQKum6J12Q,AsRnoYQ8h1X9GxYom5k2XVEqa7ugtmmHKnoALSLohCH2,1.75,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.0945,0.0105,0.105,1
2QgrhYj6DsptmGFB7E5jc5RnJFkNbFd1KiXiPJjAfzV1Uub25gqZXVcVc78bBJ2hs1j31dYKtGf5fGjCBC1S36y8,YUhn68xNNEPNzTCJDTXR8PE22WvgTjgp8zWruYE2z91,1898,Guild Hero #1898,1645814089,2022-02-25T18:34:49+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,CrrbbtocRTsG41SKnSdkb59w94KqMwUPwNTxMBhnL2Ni,2.5,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.135,0.015,0.15,1
ahej8foFNdmfJBpuWrWqesB1LMp27Mi3NUaVGV3kUwasmB7Pczw8VgJvCrpDRhHzYW2TChu7YATDiJvYsQ6ipQb,3nVbiBUzwKER1TMiMBTgSpHaC8ke9nxrtmyNkX5JGUYz,7891,Guild Hero #7891,1645814089,2022-02-25T18:34:49+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,6aNDhV9umhLKJsAuV5KKcQ6sLDLFJTeY2ez26p66qt44,4,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.216,0.024,0.24,1
3ZC1oWWoVGY2HV8ASugq71qMMjQRSEkWY2tMP7RhPNr85qKh29FVEUuNRoLguFDThH8LJ2VPPAYMveGhSW361Dgv,6KsyeSzn6BQiJiEVTcP581MPbw1WXxEKMDRJeXTekGDv,7147,Guild Hero #7147,1645814090,2022-02-25T18:34:50+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,8gZwZRrLEQQAoq32crWGaohS5HpR3Gmy7hXLYs8npZx6,HWCJgiRckaEFHiQeDCeuYmVuy31JuvX93yA9JeW8iMd2,2,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.108,0.012,0.12,1
9ijfYu8EKecgcfxcUsDY84kfzVEVrcqkqwsa5LtYv3HYRkhBKUaEsUExJJDHstsg6wotgpGJVsERJRGdBkkEZo2,Lws8NvKiAoVJxD2pkqK4reRAfEVaJsCq7MDrPgP4WQB,7276,Guild Hero #7276,1645814091,2022-02-25T18:34:51+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,8yL9kKxbAoUnJKwDFqh4JGcswcQ2vUA2A7dZS5Yik42A,5.99,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.32346,0.03594,0.3594,1
4toG7pAQ3LLTpnfDCcXg3kFkQXkqG6qcf26yiQYJGSDvJ3v3sWqY4z9bK4AtwPUgvLKPsrQRUa3TtBJuTqnSsD97,Hu2jnX36iNqPLhaRNG2r4E4JHL37omjd4jgDbT8JqMwh,3079,Guild Hero #3079,1645814092,2022-02-25T18:34:52+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,H7nau8VpT9xNRBwppZCKGeGsRwzT2ibDUj5AeHS1YdcH,3,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.162,0.018,0.18,1
4AW4utDRHea6u7icTxQ92e7AcWEqCY4xpkdMh2SFkLWCLxkM5f7wmKQAmJAmPkrW9P1G3ZVD9sP6JqyChp861gK3,E4v1QQSZGjG8QLzg1j4PaQNeVXucZmbhUoAnGAuFcdzy,1681,Guild Hero #1681,1645814093,2022-02-25T18:34:53+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,svjWBNoaQ13odVE6TDiGDKB1kSpC9ftpdTjcb52JsfR,4,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.216,0.024,0.24,1
3Dd1fyAXNrBKfVZQZGD1D8mn8GyRV8XhJ3zX8DkpL1CzKoqHNtADF9FxJV2TTdq2QwfyMHQiQrMpLBQRQNwRgcgr,AgNNYFSTtqssu87tMosxB3vr3iqt9QV6TuqbHMRhCxQd,4197,Guild Hero #4197,1645814094,2022-02-25T18:34:54+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,cLzyhvWXakWLfcFypUNZ1tzCncfkJz9Pf6cBexSn9y8,3.5,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.189,0.021,0.21,1
3RQg3YF7oSTPjqGEH1gj9y1KhiQfHyCMipofWtwfQhGTMjYw7KSvgV4jP6Zfzwv7pMZXGGKNWFnKLDDJBdjWBCfz,91QYFQLAK7rcFTuKRzimZt13JoHkpXSgYMDfu2q3CkmA,8744,Guild Hero #8744,1645814095,2022-02-25T18:34:55+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,8T3q2WWnWjzfQ5c9CAe87YYdS9nBQp2L6fWhaicnCvBV,7,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.378,0.042,0.42,1
3h1DwY8i6WQagfDPvQFeBQ177kdd5hE65iujt6q16oZ8AhmhkMg9pkT59N7yoZ4qRupAd5NSDbus9oEaUhVPMF3V,GRFtVFV4AnzR9fDAHqiGkKg7Cq9RzHzdeecHb1VbTw84,1526,Guild Hero #1526,1645814095,2022-02-25T18:34:55+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,H7MyRmmGifZhMsBCyKiHZqeSou9tZeN3f9ocqXi1792n,7xiBsC9J7YniQxvBnHWUTuZvMRCy9CFYDTecBZfZdSLX,1.8,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.0972,0.0108,0.108,1
5yvXqK3FRydT2S53FszdYMcXUsEF42HRHTvA3wDwd8RiLiyWR5nveybuRV9qCkgDNbTjpbQBpXXN3YGdtjMY4d1Q,12yKSZaAyD45UWe41UveM5fyzuJTnxabei6a4b4AvyCm,7217,Guild Hero #7217,1645814095,2022-02-25T18:34:55+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,H7MyRmmGifZhMsBCyKiHZqeSou9tZeN3f9ocqXi1792n,4PTdo3XmiaqgvyqSAF1Q9NQGtDr1ux9yHfackdt4FN3a,2,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.108,0.012,0.12,1
3GcA4tNA7HfnNNRzimA6hV1wsXWrTrFotiYvvNqwR18caKetH6T3yT8hCtq5DhCi2jWY65Lc7wbDd3Uu8BRaDtuc,GhhtoFqYA3pxYg6ZbfxXfnHiNHB634dCw6etRJAT98WG,6937,Guild Hero #6937,1645814097,2022-02-25T18:34:57+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,biyZrdh4XdaXo3ByEgxUwDa5sYqGxaVdGp4zGj39RTd,3.99,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.21546,0.02394,0.2394,1
45n5AhbzGKLfG4ZQMoaP95a4jrX8No8mzttZy69YUSj1ia48tPjr1J7nWyzv7GaD5NNX8rqj7bAtayetws6AyzhB,GumC7vGvf6ZXdqQxpWyG2CuPUGq1xBBVXRAmudRyNyvb,4440,Guild Hero #4440,1645814098,2022-02-25T18:34:58+00:00,2022-02-25,2022-02,2022,Magic Eden,Magic Eden V2,direct_program,Magic Eden v2,gnA8fEi1BcqypZ5i7yjdo2JivvH6FzohrXRa7Pska9j,6yuCNiLrC5bWB45u2x2HxtHHWhF1FntEMj7HnYsZeZvQ,5,royalty_split_crosscheck,0,LEGACY_V1_DETECTED_SALE,1,0.27,0.03,0.3,1
