mint,rarity_level,rarity_order,rarity_source
1225TE3mJP3QwbJQez86V4KQ4pmvvvYbrku5SpP2Hi4f,Silver,2,HELIUS_METADATA_BASELINE
122k5fGMjmt4EU1ZYeQcMxM2RssrouoBiQXrFaabweK6,Bronze,1,HELIUS_METADATA_BASELINE
123PRH9KeaSs8shwU8MtPosAXmT9J1S7fYoB349Y4cf3,Bronze,1,HELIUS_METADATA_BASELINE
128oQRxmHsL2EA7yhgJhbK5paMtpq9UuwbkmU2mcgExb,Gold,3,HELIUS_METADATA_BASELINE
12CRTbjKtEo1tqdZ7AjNtM2mcsV1JJzM5hWjqUszmbfJ,Gold,3,HELIUS_METADATA_BASELINE
12EbHu1b5yNzoxwriqDQd1Us11CBjbAqt4bj4AnMbyPm,Silver,2,HELIUS_METADATA_BASELINE
12Gd2GJNHwvMs2GeEp9ueMyypzSKhphe3DPtyGmBppgr,Silver,2,HELIUS_METADATA_BASELINE
12L6genwdjygXCcm4xEgCP7dmqU1i9XNSsvzqorSqHSp,Gold,3,HELIUS_METADATA_BASELINE
12MKvFCkC1FND8KFERJikEFYhRueJ4Qus4KhSkC2aWvx,Gold,3,HELIUS_METADATA_BASELINE
12MxJcQwCGBNt9MwzUHdDiF4TEjb6uPFCFBRCFPHyG1d,Silver,2,HELIUS_METADATA_BASELINE
12Qi8pXrxb3BkJ2VSZEjM6Z2mj65PVLjkCLAVBdu6vzX,Gold,3,HELIUS_METADATA_BASELINE
12RQKXcQ4VRSwfxDHuNxbQP3DTTzZLCES4v7aW89DpGN,Silver,2,HELIUS_METADATA_BASELINE
12RTL7WB6A3AviZSo8W9ssjEUmDbmjFQK34a8XTbwPtk,Silver,2,HELIUS_METADATA_BASELINE
12XbV2KkWsQgoK7pXS6Lq3RNtCScC9NJ7m8PM7qmxaYJ,Bronze,1,HELIUS_METADATA_BASELINE
12XnJwZvsE6VZp8HJ6noDMD3amWjTcoKiotdN7hQtz3a,Silver,2,HELIUS_METADATA_BASELINE
12cvwBZNUcZfkyivFvUsfzmWC99c25LfCNMXLDHUJoVi,Silver,2,HELIUS_METADATA_BASELINE
12fbNsyXSwzGenwmeLonuD8FWzff2atnuBetFfNJboh,Bronze,1,HELIUS_METADATA_BASELINE
12kH8Uj2fLLDRkgV1hXYRBVptcV8AvkSPZvogDBTvsH4,Bronze,1,HELIUS_METADATA_BASELINE
12venr73imcCvgVq6uaQ8QyysB18chzH5kpMvLU8bXrW,Silver,2,HELIUS_METADATA_BASELINE
12yKSZaAyD45UWe41UveM5fyzuJTnxabei6a4b4AvyCm,Bronze,1,HELIUS_METADATA_BASELINE
137ZrkZHnF7Qgq1tAajxH5Y2maCyihRgHGGMPCfY8B5V,Bronze,1,HELIUS_METADATA_BASELINE
13HjBTksyW87kGAHNNuc2gEmjm5Hn812bPCbpDDG7ACF,Bronze,1,HELIUS_METADATA_BASELINE
13NzjePP2Jdfx2oHHYXKxPthNSqcMYWX8N22mpPgXgvm,Bronze,1,HELIUS_METADATA_BASELINE
13UvhDyJJeL41o91sMsQNWHoARNQWM7DBXkQBFdkmgd7,Bronze,1,HELIUS_METADATA_BASELINE
13VCfhMYm16NkmAgyVd8ydWTi7emcCBjLMt7D5tNzfHy,Gold,3,HELIUS_METADATA_BASELINE
13Xdnkx9y344akK1NWbG1GNdJ3TJvdmbRf9q8PXfYwCZ,Gold,3,HELIUS_METADATA_BASELINE
13hTo15AubktshNgDbngWeeA8Xu4YNGENRWhGNa356KA,Arcane,4,HELIUS_METADATA_BASELINE
13isW12rGU6prv5v9P8bfb572Lbjrds2st5xRB1QPHDR,Arcane,4,HELIUS_METADATA_BASELINE
13tBV8VYCZZXqFAPeFFzx3bhoZhiL1q4GuJu3GN63iaG,Silver,2,HELIUS_METADATA_BASELINE
13wpNepFuePCZU6XA9EbKrb7zDJN7Gb47BXmmfgDcMD5,Bronze,1,HELIUS_METADATA_BASELINE
142uUFEaxbPJuS3TtDMUchFQ9cvqbgj1KPaeQq43WvrF,Silver,2,HELIUS_METADATA_BASELINE
1439tvypoPeqvKN92LjcP4QM81BQKdTEQRzz4XF3gT8W,Silver,2,HELIUS_METADATA_BASELINE
149EyqbSXMVjuHdogmK3j8hBekWzV6GgqbYCsuh8574D,Silver,2,HELIUS_METADATA_BASELINE
14D9KqpSJA9jg67FQVwAGfymTJXfFrQDpysHqEGasNVB,Bronze,1,HELIUS_METADATA_BASELINE
14KLKw2KSUCHPGuCNgebpqP9FkzhKrXB5BDsWK4UyjWj,Gold,3,HELIUS_METADATA_BASELINE
14UGt2RGtD8vbBkfuVJaur7oFwkppKjFbCAjKjFVHMMD,Bronze,1,HELIUS_METADATA_BASELINE
14Ui1NQHrAcsmK8Di1PzXtpiXfnDxAzEiRtKojXmb6r,Bronze,1,HELIUS_METADATA_BASELINE
14XUh7btpVcJNYC8RotuZuxMWDsbFdLXQKuN8sbzJPgA,Bronze,1,HELIUS_METADATA_BASELINE
14ajvW67P6cfAk6anxsapibkMUAh3MUHPTG7myGyujgv,Silver,2,HELIUS_METADATA_BASELINE
14gg43pwZJNDagYMStKKKudYb7LFeGRh85KwERm7sTcw,Bronze,1,HELIUS_METADATA_BASELINE
14jRiDw3C6hBWwzhK9pCh3KjafEg2isFD1DtwZq8SRR1,Bronze,1,HELIUS_METADATA_BASELINE
14nsicgWiuDejo9xkB2bGHwsusoV32ECSAT2MDrrdXLW,Silver,2,HELIUS_METADATA_BASELINE
14pPq1jNLiUugoW1spfRXvJEFhdKNcQBAurpFTsx9HTi,Elven,5,HELIUS_METADATA_BASELINE
14pn4pVrC4nEjjErX1REEySHRpAbVoniVawix4cEdCbz,Gold,3,HELIUS_METADATA_BASELINE
1H5ErFCzxaTU5e8z5awj6trqDXdUKndJy96q9pzjuQj,Silver,2,HELIUS_METADATA_BASELINE
1QGg6HpR2P441FdCCP48JCu2d8xNXoMSCMgiou7PekA,Silver,2,HELIUS_METADATA_BASELINE
1WVc9JCwgGbD8rgTuWxTzHFNZWro5zbv46vorfhVzm8,Bronze,1,HELIUS_METADATA_BASELINE
1YVumpfQyVWWUHLhsokiWdN7tgFYA4mneSPBrNeXUvi,Arcane,4,HELIUS_METADATA_BASELINE
1eVbAcCJtJGCYcdvD1ah4Xx9sgpLuyTxxZYkurkHxE6,Gold,3,HELIUS_METADATA_BASELINE
1qi49F5HniF8wMumPtZAq33Pg3BwRKo3KEaSKm9Nvgm,Bronze,1,HELIUS_METADATA_BASELINE
1rRTp8y2rpqjEVMLUp62Qyfgbjpk8hSsnY6tLEw1Xob,Bronze,1,HELIUS_METADATA_BASELINE
218bcbxsYbG7brZhFNisdoc72yBhCGMRWPyo1W3ZfRWp,Silver,2,HELIUS_METADATA_BASELINE
21AZ7THCwPm8pj6HsxmHVDeRdFZMT7FiUWU6mW4nFVW6,Silver,2,HELIUS_METADATA_BASELINE
21Futovfsvy6JWBMvwEyo5WSYqEdSY6NVLt3BwEN3vVh,Bronze,1,HELIUS_METADATA_BASELINE
21Gb9nNoqDTuNKcrQRppNYAcKbAeLUMTL1WXYGw3UhgA,Arcane,4,HELIUS_METADATA_BASELINE
21J2m2SCMKcFenMjCb1eTKcH9aLeP7V2Yppq2pqz2gVf,Silver,2,HELIUS_METADATA_BASELINE
21X6BTknFoufVSEDFQNEcuzzoQ79Q1XB1P4PfmDgAZDM,Silver,2,HELIUS_METADATA_BASELINE
