snapshot_date,floor_sol,listed_count,source
2022-02-25,1.44,2176,tensor_history
2022-02-26,1.39,2058,tensor_history
2022-02-27,1.24,1951,tensor_history
2022-02-28,1.19,1855,tensor_history
2022-03-01,1.2,1721,tensor_history
2022-03-02,1.495,1511,tensor_history
2022-03-03,1.4,1407,tensor_history
2022-03-04,1.37,1443,tensor_history
2022-03-05,1.3,1325,tensor_history
2022-03-06,1.3,1329,tensor_history
2022-03-07,1.27,1310,tensor_history
2022-03-08,1.22,1323,tensor_history
2022-03-09,1.15,1319,tensor_history
2022-03-10,1.19,1256,tensor_history
2022-03-11,1.17,1218,tensor_history
2022-03-12,1.1,1211,tensor_history
2022-03-13,1.15,1241,tensor_history
2022-03-14,1.11,1230,tensor_history
2022-03-15,1.15,1226,tensor_history
2022-03-16,1.05,1223,tensor_history
2022-03-17,1,1233,tensor_history
2022-03-18,1.05,1189,tensor_history
2022-03-19,1.07,1171,tensor_history
2022-03-20,1,1197,tensor_history
2022-03-21,1.25,1105,tensor_history
2022-03-22,1.15,1103,tensor_history
2022-03-23,1.2,1084,tensor_history
2022-03-24,1.2,1088,tensor_history
2022-03-25,1.14,1096,tensor_history
2022-03-26,1.1,1122,tensor_history
2022-03-27,1,1120,tensor_history
2022-03-28,1.09,1116,tensor_history
2022-03-29,1.1,1103,tensor_history
2022-03-30,1.04,1117,tensor_history
2022-03-31,0.97,1144,tensor_history
2022-04-01,1.16,1056,tensor_history
2022-04-02,0.97,1080,tensor_history
2022-04-03,1,1069,tensor_history
2022-04-04,1.2,1006,tensor_history
2022-04-05,1.29,927,tensor_history
2022-04-06,1.43,862,tensor_history
2022-04-07,1.29,891,tensor_history
2022-04-08,1.265,923,tensor_history
2022-04-09,1.2,927,tensor_history
2022-04-10,1.16,943,tensor_history
2022-04-11,1.12,926,tensor_history
2022-04-12,1.2,924,tensor_history
2022-04-13,1.11,927,tensor_history
2022-04-14,1.35,884,tensor_history
2022-04-15,1.38,890,tensor_history
2022-04-16,1.22,896,tensor_history
2022-04-17,1.3,883,tensor_history
2022-04-18,1.34,832,tensor_history
2022-04-19,1.39,850,tensor_history
2022-04-20,1.4,846,tensor_history
2022-04-21,1.33,866,tensor_history
2022-04-22,1.299,868,tensor_history
2022-04-23,1.24,881,tensor_history
2022-04-24,1.15,876,tensor_history
2022-04-25,1.2,873,tensor_history
2022-04-26,1.24,861,tensor_history
2022-04-27,1.35,838,tensor_history
2022-04-28,1.4,824,tensor_history
2022-04-29,1.28,840,tensor_history
2022-04-30,1.385,834,tensor_history
2022-05-01,1.29,844,tensor_history
2022-05-02,1.2489,860,tensor_history
2022-05-03,1.2,838,tensor_history
2022-05-04,1.35,816,tensor_history
2022-05-05,1.48,761,tensor_history
2022-05-06,1.35,814,tensor_history
2022-05-07,1.35,792,tensor_history
2022-05-08,1.5,756,tensor_history
2022-05-09,1.4,769,tensor_history
2022-05-10,1.4,784,tensor_history
2022-05-11,1.25,782,tensor_history
2022-05-12,1.29,753,tensor_history
2022-05-13,1.6,720,tensor_history
2022-05-14,1.45,725,tensor_history
2022-05-15,1.43,729,tensor_history
2022-05-16,1.3,739,tensor_history
2022-05-17,1.39,746,tensor_history
2022-05-18,1.3,741,tensor_history
2022-05-19,1.29,755,tensor_history
2022-05-20,1.29,773,tensor_history
2022-05-21,1.28,771,tensor_history
2022-05-22,1.4,776,tensor_history
2022-05-23,1.34,765,tensor_history
2022-05-24,1.3,760,tensor_history
2022-05-25,1.37,753,tensor_history
2022-05-26,1.24,753,tensor_history
2022-05-27,1.19,766,tensor_history
2022-05-28,1.24,767,tensor_history
2022-05-29,1.2,791,tensor_history
2022-05-30,1.24,787,tensor_history
2022-05-31,1.23,816,tensor_history
2022-06-01,1.47,722,tensor_history
2022-06-02,1.41,678,tensor_history
2022-06-03,1.25,672,tensor_history
2022-06-04,1.37,665,tensor_history
2022-06-05,1.33,660,tensor_history
2022-06-06,1.25,606,tensor_history
2022-06-07,1.2,603,tensor_history
2022-06-08,1.28,586,tensor_history
2022-06-09,1.249,572,tensor_history
2022-06-10,1.24,572,tensor_history
2022-06-11,1.3,554,tensor_history
2022-06-12,1.45,508,tensor_history
2022-06-13,1.45,488,tensor_history
2022-06-14,1.4,485,tensor_history
2022-06-15,1.39,485,tensor_history
2022-06-16,1.85,366,tensor_history
2022-06-17,1.62,395,tensor_history
2022-06-18,1.45,438,tensor_history
2022-06-19,1.5,441,tensor_history
2022-06-20,1.496,453,tensor_history
2022-06-21,1.479,448,tensor_history
2022-06-22,1.4,455,tensor_history
2022-06-23,1.4,461,tensor_history
2022-06-24,1.38,467,tensor_history
2022-06-25,1.45,455,tensor_history
2022-06-26,1.4,454,tensor_history
2022-06-27,1.25,461,tensor_history
2022-06-28,1.25,463,tensor_history
2022-06-29,1.25,463,tensor_history
2022-06-30,1.25,471,tensor_history
2022-07-01,1.2,494,tensor_history
2022-07-02,1.15,485,tensor_history
2022-07-03,1.27,459,tensor_history
2022-07-04,1.15,481,tensor_history
2022-07-05,0.925,465,tensor_history
2022-07-06,1.15,467,tensor_history
2022-07-07,1.09,466,tensor_history
2022-07-08,1.25,466,tensor_history
2022-07-09,1.35,462,tensor_history
2022-07-10,1.399,463,tensor_history
2022-07-11,1.35,466,tensor_history
2022-07-12,1.33,494,tensor_history
2022-07-13,1.2,477,tensor_history
2022-07-14,1.22,479,tensor_history
2022-07-15,1.2,490,tensor_history
2022-07-16,1.17,488,tensor_history
2022-07-17,1.4,473,tensor_history
2022-07-18,1.34,477,tensor_history
2022-07-19,1.24,492,tensor_history
2022-07-20,1.1,496,tensor_history
2022-07-21,1.04,485,tensor_history
2022-07-22,1.1,495,tensor_history
2022-07-23,1.1,509,tensor_history
2022-07-24,1.07,521,tensor_history
2022-07-25,0.93,516,tensor_history
2022-07-26,1.04,505,tensor_history
2022-07-27,1.04,509,tensor_history
2022-07-28,1.02,518,tensor_history
2022-07-29,1,527,tensor_history
2022-07-30,0.9,544,tensor_history
2022-07-31,0.96,541,tensor_history
2022-08-01,0.94,558,tensor_history
2022-08-02,0.88,565,tensor_history
2022-08-03,0.83,574,tensor_history
2022-08-04,0.75,566,tensor_history
2022-08-05,0.72,574,tensor_history
2022-08-06,0.73,569,tensor_history
2022-08-07,0.73,571,tensor_history
2022-08-08,0.68,556,tensor_history
2022-08-09,0.7,543,tensor_history
2022-08-10,0.7,536,tensor_history
2022-08-11,0.7,539,tensor_history
2022-08-12,0.59,535,tensor_history
2022-08-13,0.69,528,tensor_history
2022-08-14,0.67,541,tensor_history
2022-08-15,0.66,538,tensor_history
2022-08-16,0.64,554,tensor_history
2022-08-17,0.64,543,tensor_history
