mint,burned,burn_utc,burn_signature,current_raw_owner,current_world_staked,current_beneficial_owner,current_world_staking_wallet,latest_event_utc,latest_signature,quest_user_wallet,quest_staking_wallet,current_stake_deposit_utc,current_stake_deposit_signature,best_known_last_qualifying_quest_utc,best_known_last_qualifying_quest_signature,quest_history_source,deep_history_status
13Xdnkx9y344akK1NWbG1GNdJ3TJvdmbRf9q8PXfYwCZ,0,,,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,1,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:12:14Z,3cJSGsPbnfKGdXGc83SLEnxUt2a438qfmKHpJ3jYhPie3yKXJpTbfbqYQsBtR31xw3HF1YTmjvg2VbcyW5rG5xRq,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:12:14Z,3cJSGsPbnfKGdXGc83SLEnxUt2a438qfmKHpJ3jYhPie3yKXJpTbfbqYQsBtR31xw3HF1YTmjvg2VbcyW5rG5xRq,2026-08-24T04:22:35.000Z,5oK95ozVzmUYxqJmZd7NLGb2U4oYDLVTieQMPA7TJve19iKQ41uaDdvJ8VHYNmcxSnH1A7BK2NrfTFFcJbTUKTey,DUNE_LIVE,LIVE_POST_BASELINE
21zAiHG2QTVxJjDbWJHxDEKBCQERHnpphv5ZqbDVS1nC,0,,,DM5YNogviE6YxVESWYG9TaZ9q4qiBLAJmxnA1LQRFMGZ,1,B1Pv8HZNHGdXC8qTsNGLCJKpnoetE2Y52RyeoJW9pE5Z,DM5YNogviE6YxVESWYG9TaZ9q4qiBLAJmxnA1LQRFMGZ,2026-04-09T04:02:20Z,2x27znupJwk5FTB6VdzvrJMy5CxT6DbDHG8Qz2h92z6h9KcTeA7f3EckrXRPfZBqb4yQhHehgF37fT8oEgb4dLPE,B1Pv8HZNHGdXC8qTsNGLCJKpnoetE2Y52RyeoJW9pE5Z,DM5YNogviE6YxVESWYG9TaZ9q4qiBLAJmxnA1LQRFMGZ,2026-04-09T04:02:20Z,2x27znupJwk5FTB6VdzvrJMy5CxT6DbDHG8Qz2h92z6h9KcTeA7f3EckrXRPfZBqb4yQhHehgF37fT8oEgb4dLPE,2026-08-31T09:39:48Z,5rqET3n1SkPB9jrcz8yM3KNBt6b2Q925G69tDBYwhL5yd6cLZzD3gSDSSgsbFqwtJkuaCoAvuRNq3eCNaKxhpdWi,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
238BUv4jpqafs4Hw2VgPHobqeZXGYqmcUEJyD6czhcp4,1,2026-08-24T15:31:42.000Z,4dTQUg4zs1QUbQXrH5H6ctfngozoSNt3STP24n8vzTwqE4TmJ7KUoywWM2UYzVkWJXKTHhEU1hRccRLvGht6Srt4,,0,,,2026-08-24T15:31:42.000Z,4dTQUg4zs1QUbQXrH5H6ctfngozoSNt3STP24n8vzTwqE4TmJ7KUoywWM2UYzVkWJXKTHhEU1hRccRLvGht6Srt4,,,,,,,,
23MTRWTVz8vYD68F5AEyq5wdm97zCVAXVQL4DMyvd1vw,0,,,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,1,Cwg4F9HnwEKktX662TLjYvUjvZStpQHss9BasJYSaGPj,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,2023-08-28T01:48:46Z,4qKDWGBLuBURmUA3dnK9M4Hzq1zcpyKMkpHUuAkKrLrLNyaPtX3ebJErUqFZaPExKaBE28NCvjfz888pZGnGvBVj,Cwg4F9HnwEKktX662TLjYvUjvZStpQHss9BasJYSaGPj,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,2023-08-28T01:48:46Z,4qKDWGBLuBURmUA3dnK9M4Hzq1zcpyKMkpHUuAkKrLrLNyaPtX3ebJErUqFZaPExKaBE28NCvjfz888pZGnGvBVj,2026-08-28T06:25:53Z,3wyPJbJFHo4Fvu7Und18ezfHzbJFeq5FuiuZQzTTQAzrrC7RmAWXjXmonJge3e898SwmhStEUrJE6grUaYQ74KcV,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
25i4SufSYwrCEPSV55X6aHvrGuTVskfcrwu3s2vohSvu,1,2026-08-24T15:31:42.000Z,4Y7JsfpHd8ivMHVPRohCucXgdGa4NhkahMknyFUv6y46vMFrd4ErCXU56vy7ZvpmTeTbb7uysBwZdNbfEMddj16M,,0,,,2026-08-24T15:31:42.000Z,4Y7JsfpHd8ivMHVPRohCucXgdGa4NhkahMknyFUv6y46vMFrd4ErCXU56vy7ZvpmTeTbb7uysBwZdNbfEMddj16M,,,,,,,,
273cUusEnTTrjB4iFXUHfQz2BKNTtgUqT8yFJq4Mn2BF,0,,,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,1,Do9VaY2ru9QtaTWdhmuwc2Z9rj4rZ7D6EShdLTvxnp6h,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,2025-07-01T07:08:38Z,5Aqj9z5KX73DwKGFttxS73LEQTkWN4K41PEMM7tuuaErUgpE7vDwCS8w7TKBgGySvVBLmhXCGUkRYtAxQukShTAa,Do9VaY2ru9QtaTWdhmuwc2Z9rj4rZ7D6EShdLTvxnp6h,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,2025-07-01T07:08:38Z,5Aqj9z5KX73DwKGFttxS73LEQTkWN4K41PEMM7tuuaErUgpE7vDwCS8w7TKBgGySvVBLmhXCGUkRYtAxQukShTAa,2026-08-26T21:34:16Z,5y9KKMidZA2pNm3QLD2z2j7BfPbwsAQt6HEVyCQMK7sSkCy7PRQUy35JJG3GRnTBDLDeD6YVxYpw9nXSayk6pTiK,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
292m8vXKm5sWDEKfsdgNZprnt5MUvdoka3ne1qL5wv3C,0,,,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,1,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:18:06Z,5aRocLMBxK92r7fZdm8pJqKPFpTvK6zQrZhabkQ8XG6CMeMEGu2jf979rqoY8C8dWSS1WU6iogVmoA9jWfSi3xkN,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:18:06Z,5aRocLMBxK92r7fZdm8pJqKPFpTvK6zQrZhabkQ8XG6CMeMEGu2jf979rqoY8C8dWSS1WU6iogVmoA9jWfSi3xkN,2026-08-24T04:22:35.000Z,5oK95ozVzmUYxqJmZd7NLGb2U4oYDLVTieQMPA7TJve19iKQ41uaDdvJ8VHYNmcxSnH1A7BK2NrfTFFcJbTUKTey,DUNE_LIVE,LIVE_POST_BASELINE
294PpgRgawWbZze4YHVbrdUVe2UNveWDLgJi1QkS972F,0,,,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,1,Do9VaY2ru9QtaTWdhmuwc2Z9rj4rZ7D6EShdLTvxnp6h,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,2025-11-03T11:30:36Z,3fiL4SfaEnBUTNuK2MtW1rryjPRz3CED5f6irVgyUquuLJgumGnh1VUUDBEscgQ2WrXyUhXXDeVk1CgyrqRnXS3C,Do9VaY2ru9QtaTWdhmuwc2Z9rj4rZ7D6EShdLTvxnp6h,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,2025-11-03T11:30:36Z,3fiL4SfaEnBUTNuK2MtW1rryjPRz3CED5f6irVgyUquuLJgumGnh1VUUDBEscgQ2WrXyUhXXDeVk1CgyrqRnXS3C,2026-08-26T21:34:16Z,5y9KKMidZA2pNm3QLD2z2j7BfPbwsAQt6HEVyCQMK7sSkCy7PRQUy35JJG3GRnTBDLDeD6YVxYpw9nXSayk6pTiK,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
29aCaVmnyx27XoWTpd37BWu3zJT1kBoepfhTF6obwj6U,0,,,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,1,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:15:06Z,3ewAkmPuUp2zrf12Ad6F45NekvmU3vg2a9a4RU4MqaJJXtKD92BX3BgLtAqFoh8CLtJEnT3k8Hi8GtTvnR4Afaec,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:15:06Z,3ewAkmPuUp2zrf12Ad6F45NekvmU3vg2a9a4RU4MqaJJXtKD92BX3BgLtAqFoh8CLtJEnT3k8Hi8GtTvnR4Afaec,2026-08-24T04:22:35.000Z,5oK95ozVzmUYxqJmZd7NLGb2U4oYDLVTieQMPA7TJve19iKQ41uaDdvJ8VHYNmcxSnH1A7BK2NrfTFFcJbTUKTey,DUNE_LIVE,LIVE_POST_BASELINE
2B75tZ3GWUz4AMenAwgpjio2GQzzynaUyALi9joDr9XT,0,,,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,1,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:14:35Z,5PjQPXRQrR2k9BhLPQqcrUiYZZjWghhVLMTBGBq5eosNquehgGsovRr13RD5Tu1fbP1cWpoFAFSQq3izqTMTYFGy,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:14:35Z,5PjQPXRQrR2k9BhLPQqcrUiYZZjWghhVLMTBGBq5eosNquehgGsovRr13RD5Tu1fbP1cWpoFAFSQq3izqTMTYFGy,2026-08-24T04:22:35.000Z,5oK95ozVzmUYxqJmZd7NLGb2U4oYDLVTieQMPA7TJve19iKQ41uaDdvJ8VHYNmcxSnH1A7BK2NrfTFFcJbTUKTey,DUNE_LIVE,LIVE_POST_BASELINE
