signature,mint,hero_number,hero_name,block_time,utc,sale_date,sale_month,sale_year,marketplace,marketplace_detail,marketplace_attribution_method,direct_program_families,buyer,seller,gross_price_sol,gross_price_method,price_recovered_in_v3,sale_class,legacy_sale,royalty_90_sol,royalty_10_sol,royalty_total_sol,royalty_paid
Q8S7KeKtCGk95FVVyEhjgkGdwYSvkR7vsCKHSoAV94bK9GX9CwiRDpcZtxbvPwwrydszw4Lycu4mrsXfNe68m19,nfhFMUwngA7u8jSpJDHSaBq3VdR8ehU4G64kSQP27rh,9623,Guild Hero #9623,1.787648446e+09,2026-08-25 09:00:46.000 UTC,2026-08-25,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,HjFRCyTSTMLrA8CFeDqrjYwQ5WEKfTRDc4gTDxkry3p1,E93f7L7qFgemWHnrFeQ3TrrEbeaREvvUez22rt18NefM,0.001,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
4E1sF4iC3UyFUAsZ9d2HnhrVnP4XddwrLKZJnkRxgDPbgUvavm9GoMh4zsUWUKeK5bBqX7R7cCwgmVNbxDfuAXv,AankJNdbJzk7Ka1uQiHQHMfy6GUWPn8eAUviHkqJySMA,8505,Guild Hero #8505,1.78759673e+09,2026-08-24 18:38:50.000 UTC,2026-08-24,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,8Vpqxxbon9s4Hnk2eMhysjx6XKjHiUgEUAm3MSq9yQv2,6YCx2U1qfwCbs2xxNxzKJuTxE2frHbwAk2zPhaDybTku,0.05,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
5gAF88ej38hN3EpkMcsvH7XBGip8PEFgd6xo1weSzxhzSL1GRMJhPnBGnqcAxnPi8nWhRBqETPMHSngwXJjNTF1v,5evvbgPRxGJwS95NkyEcm1UQ1EHr5sshYCN3PARUpXrJ,3429,Guild Hero #3429,1.787560219e+09,2026-08-24 08:30:19.000 UTC,2026-08-24,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,WiNsv72n9ivdgv9zcZWkedWdyoMCz8cdapqWmHJ7FMq,2AL8HMb8npELYy61PC6wSNVQbBYeoRPDoPQhGAdpZ6q8,0.3,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
ig9Ltku4rKCkGfnVLWPB8qG4ck41bt5ecESJEL86ao338yxr8FPHqw4gqEGi3uQrj3dKtF2VXZS8GzS2ZV66M1a,5evvbgPRxGJwS95NkyEcm1UQ1EHr5sshYCN3PARUpXrJ,3429,Guild Hero #3429,1.787560219e+09,2026-08-24 08:30:19.000 UTC,2026-08-24,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,BBZ1rhcm7EyMDKDqveG4LmTmfEM576SJfgrUMqB9UyCK,WiNsv72n9ivdgv9zcZWkedWdyoMCz8cdapqWmHJ7FMq,1.75,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
2UW4oQxid2kAF9Q2nJ9BByKMGEHhgdWYDQQ8bLT7HGaY1kUULtucNjcCqAfZ9cSuXZp6S3sxQo8KeMxLgFvXVxDm,nfhFMUwngA7u8jSpJDHSaBq3VdR8ehU4G64kSQP27rh,9623,Guild Hero #9623,1.787540038e+09,2026-08-24 02:53:58.000 UTC,2026-08-24,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,HjFRCyTSTMLrA8CFeDqrjYwQ5WEKfTRDc4gTDxkry3p1,E93f7L7qFgemWHnrFeQ3TrrEbeaREvvUez22rt18NefM,0.001,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
2D1Fir1fnQaJ1AF1uLSCq2h6JxbZsFeqAKbTtCcPcB3A4eXfjJ6BYEYkt5r6aH4K23EVknEmhDyjqnaWYHwoPa8w,nfhFMUwngA7u8jSpJDHSaBq3VdR8ehU4G64kSQP27rh,9623,Guild Hero #9623,1.78753818e+09,2026-08-24 02:23:00.000 UTC,2026-08-24,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,HjFRCyTSTMLrA8CFeDqrjYwQ5WEKfTRDc4gTDxkry3p1,E93f7L7qFgemWHnrFeQ3TrrEbeaREvvUez22rt18NefM,0.001,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
53GxEysTBNS1jKuNi35mKpugAgDu93W1k4wPdkhsQKdxHECkqMVK6uqr7Lhh99GJpkxAKcDFq4yKSUX1Dxwa6qT8,nfhFMUwngA7u8jSpJDHSaBq3VdR8ehU4G64kSQP27rh,9623,Guild Hero #9623,1.787538167e+09,2026-08-24 02:22:47.000 UTC,2026-08-24,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,E93f7L7qFgemWHnrFeQ3TrrEbeaREvvUez22rt18NefM,6YCx2U1qfwCbs2xxNxzKJuTxE2frHbwAk2zPhaDybTku,0.07,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0.00378,0.00042,0.0042,1
2u2DqMA3LyDswB1Twtft8T8K7Z1peS7zHj43BF87Zwpd16QXVf6c253kUErXMhheTr6ZBejK9BwQxmbjzKsnAmi,H9hpEFD5P6YviprV2ijxcVXzT2vYKkCsuR3TXA9X32R8,2412,Guild Hero #2412,1.787439346e+09,2026-08-22 22:55:46.000 UTC,2026-08-22,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,CMNyyCXkAQ5cfFS2zQEg6YPzd8fpHvMFbbbmUfjoPp1s,E93f7L7qFgemWHnrFeQ3TrrEbeaREvvUez22rt18NefM,0.001,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
7SXFXjP6WpVyPoi62SAiKTNLcPuytfs3CueLAw9QRsSctBa9cKmwV9bLyZzkFUnhpG9jgVquwupM1MY8nDnaNyp,H9hpEFD5P6YviprV2ijxcVXzT2vYKkCsuR3TXA9X32R8,2412,Guild Hero #2412,1.787438497e+09,2026-08-22 22:41:37.000 UTC,2026-08-22,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,HjFRCyTSTMLrA8CFeDqrjYwQ5WEKfTRDc4gTDxkry3p1,E93f7L7qFgemWHnrFeQ3TrrEbeaREvvUez22rt18NefM,0.001,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
4qqP8URUWhrxsurQqynGS4TtpzbUVTEuPskwYmJti7ggdRdoJpgVEE34YS8tXPDuQAWNZZP4z3UvPTqxujDSTExV,94Yb6bVrbqKyNrmUWedZ98pYHFNSqfj1TBkrc8jRMF7j,9562,Guild Hero #9562,1.787327004e+09,2026-08-21 15:43:24.000 UTC,2026-08-21,2026-08,2026,Magic Eden,Magic Eden V2,direct_program_live,Magic Eden v2,8Vpqxxbon9s4Hnk2eMhysjx6XKjHiUgEUAm3MSq9yQv2,6YCx2U1qfwCbs2xxNxzKJuTxE2frHbwAk2zPhaDybTku,0.05,magic_eden_execute_sale_v2_price,0,LIVE_DETECTED_SALE,0,0,0,0,0
