signature,slot,block_time_utc,received_at,tx_success,hero_movements,world_calls,quest_hero_updates,market_sales,source
3cJpvQubEvM7vi27YZdBnfi7iCAKZkERQcVPuyx9LGFUyqG24n7MchX4r6HTkxTW6NZTuHDAAVV6Qmj6hN1Tv8Na,442491037,2026-08-29T02:18:02.000Z,2026-08-29T02:18:04.916Z,1,,,0,,HELIUS_D1_RAW
4DxBuMQg7BYUujiBVMXCj5k5a8g5TZ5LRiZ1eDRwJXBS8PZGGsiz9Gme8KjUgmtzgbPWVMFwTqKB3utN5VxGtRsG,442491146,2026-08-29T02:18:37.000Z,2026-08-29T02:18:40.773Z,1,,,0,,HELIUS_D1_RAW
2z4YvCZP2u4xpQs8hLfGGsBiaGCSDhJo2SVACgYDupZgRn9rX3jLbSQJp6GvFhYUEkQE2HtZe8bZk625FkeaaBxQ,442491354,2026-08-29T02:19:44.000Z,2026-08-29T02:19:49.276Z,1,,,0,,HELIUS_D1_RAW
nbDEEFvjJHohhFsawDhxCWTxgCy9qWrrWYmaHyRPvkz9tQcKpY6oKSBtoNF3UPErbCUxLAG8QjZ7uY1TcuAucEt,442491516,2026-08-29T02:20:34.000Z,2026-08-29T02:20:41.598Z,1,,,0,,HELIUS_D1_RAW
RnERDTks52T8Fo9c4iEkKNnGyCSyJJw9twUge2P7e6xtZZdvpjaUbg67nUrk1T7hR5DtuYet5TgzaJ3ni22xXpc,442492584,2026-08-29T02:26:14.000Z,2026-08-29T02:26:18.440Z,1,,,0,,HELIUS_D1_RAW
2pjNvtoVk56ovYWoPms796tphgu4X9qfi5YYRX1KEZjtNjcQTiKZhMvBYqBSKN9rYiEn6Rc2fUusg8NaTHiXC1Hu,442508491,2026-08-29T03:50:30.000Z,2026-08-29T03:50:34.254Z,1,,,0,,HELIUS_D1_RAW
5irbyg26MFQwVjDUfFWbYQCe2zocGxsZtfSkGumTjq5oSHAhpkaT6UUSggi1Cs6cM6eNfMd6Uv8gjXrAjRtGPQj7,442508589,2026-08-29T03:51:02.000Z,2026-08-29T03:51:07.831Z,1,,,0,,HELIUS_D1_RAW
2DQp4UQm86LNkikGHDDCBUewRX3mhGeLZLddBq26qsjbzn9WJpbUbZXiEn4vViGWu7EagRwwSHvHv1cL6Fb9rxpx,442508686,2026-08-29T03:51:33.000Z,2026-08-29T03:51:37.805Z,1,,,0,,HELIUS_D1_RAW
44H2qp6x2XdCt57q9SokjLsTFLU9RGeQnsbhFeRC8NayMd27Yx7FMsiAay2gWV5op2veQgX7DpcoGvZi5tpC3qvg,442508782,2026-08-29T03:52:04.000Z,2026-08-29T03:52:08.766Z,1,,,0,,HELIUS_D1_RAW
3HqDD4gpvitoA7eg7PcLShATW3GDwYXRpiaPNNjmD3HmxjjzE4vowgTUqv18USarCjFnJAirybdo7xFsT6zDF39e,442509246,2026-08-29T03:54:32.000Z,2026-08-29T03:54:34.479Z,1,,,0,,HELIUS_D1_RAW
5pGom3AZRLoEK7jcjiV2NaiMjPzdLfcYsysHKYzc8Lcm91gWF7M2HKVLzoUF4a4AjmB5QPQ8gLgr57Ts3rTymzEm,442536005,2026-08-29T06:15:48.000Z,2026-08-29T06:15:52.938Z,1,,,0,,HELIUS_D1_RAW
43VzJiESiRCuUVYvwfneLvyn1PzwNJUNv1MRNu45RzZx6GaEAGRdmGdfLRjjG4BsyFVieQm5vzJbdYD3EZRAom3Z,442536352,2026-08-29T06:17:36.000Z,2026-08-29T06:17:41.265Z,1,5ajAancADZdbMHYDFpWHY2BR73NatZCYjyweX7P79SLv:TRANSFER,,0,,HELIUS_D1_RAW
2egvFE8ojZKjLAAG2Fb8fAcGmDxJyY9vRieWsqxL86DTGsVqq5uYrN4uYdVzsD4MWbsqvjKNYpk62JGFunELpcQ5,442560921,2026-08-29T08:27:04.000Z,2026-08-29T08:27:06.704Z,1,,,0,,HELIUS_D1_RAW
4BpwiLs6596385STq8BSYm2Ho6p96FgGtmYyrS4ZcgiHQSFdkFn5A33m6wzNHiPsAzdRDi6CM9HXNSGpCbZ1o5Z4,442561172,2026-08-29T08:28:23.000Z,2026-08-29T08:28:26.137Z,1,,,0,,HELIUS_D1_RAW
2gjmybE1xnRobTuUAyiV8JrwmtmFbTzsx4rDn4eUaTNhSz2FvF8GSYWtKgJLYJgLzrue92b6P6U3sbktE2h8jXAD,442561279,2026-08-29T08:28:56.000Z,2026-08-29T08:28:58.589Z,1,,,0,,HELIUS_D1_RAW
62iiidSMig5C3QxMitm4GpJfHZ7c84xVJGB9VeSfUYpgBA94LgokxU3rZHrGNBa2s8iH2RbcCsFrRQ8XH29Kom2E,442561472,2026-08-29T08:29:57.000Z,2026-08-29T08:30:00.007Z,1,,,0,,HELIUS_D1_RAW
b9PeNZJ5EyKE5Adw1W7JuSgMV2a4Y1Sh5KMAn4Q25jojhifFsM9ZegRwNP8cdW2aQHoykbcMBkFx4vFZy3t19eM,442561558,2026-08-29T08:30:26.000Z,2026-08-29T08:30:28.347Z,1,,,0,,HELIUS_D1_RAW
3SytJ3ANTY5zBT7ph8ncXfeEhXmUGc2avgd1E1zVm4wnnd2DmppiR6p7AEYX9eC2bPyd91giXBfdxquzm7DvymHm,442562794,2026-08-29T08:36:58.000Z,2026-08-29T08:37:00.747Z,1,,,0,,HELIUS_D1_RAW
b5D5j9SJpn5XcwaH2W9ap1Sv9mNKGS7nuy6f2zVEdn6ogwaQizpdaUJRLH3ybonMQDymxZCETy9N7xrd4W83DWe,442562900,2026-08-29T08:37:32.000Z,2026-08-29T08:37:35.240Z,1,,,0,,HELIUS_D1_RAW
5i9tEQJXmq3HNsq3cafZtQoQJMm6HkxAChj64jLp7LXKawooknge2BkqSPjYDYiH44n988FMzPmBQxBFjUecWJqn,442563016,2026-08-29T08:38:09.000Z,2026-08-29T08:38:11.609Z,1,,,0,,HELIUS_D1_RAW
Kx6WJs8tQgm9o9sxWJccysYY2tJ6iGWjQtvcgnW9ZXEWgWfmrUkxqdKFbmVWyKDYT3F1qaMtLLPvH7yjKDmUXuJ,442563116,2026-08-29T08:38:40.000Z,2026-08-29T08:38:43.049Z,1,,,0,,HELIUS_D1_RAW
4Hzxm3vxBogJSEsVuFqUcTNUMYxiKgDceJiUy5bETksJRzF8B1avjg2FL6DqZveNkTBv9ZHLq5MJE8xjK7wdmrbA,442563218,2026-08-29T08:39:12.000Z,2026-08-29T08:39:14.036Z,1,,,0,,HELIUS_D1_RAW
3YDqY8CbFLHKfSihKmPzQ5zd8n39oDtVkjMptRTDVnstcdqHNDMNi2a27adFoDTpHfRoLDwboDzMZQpkDEfXXKzD,442563529,2026-08-29T08:40:51.000Z,2026-08-29T08:40:53.132Z,1,,,0,,HELIUS_D1_RAW
3STQYkYZqivkVseGa1gZK7Fm5Mf58i1GT7ywmPzxkNN8RSeVGqSy3gcM4FTLssqQdTWJsUtxM13ZUvNjKKV2y21D,442563703,2026-08-29T08:41:44.000Z,2026-08-29T08:41:46.976Z,1,,,0,,HELIUS_D1_RAW
GNgZBgL1vEfa7ZurfMN6AYTsQQmGwQ8fDV7y6DU4hTDd3hD9zrqs9Rhh2uGoZRJpvkMxwRbYn3ZRSjAvL6BQPLE,442563760,2026-08-29T08:42:02.000Z,2026-08-29T08:42:04.635Z,1,,,0,,HELIUS_D1_RAW
h3nR4GHj841nTcmty8DNWH3erZV4deLV6knB2tT2tQ1Svy3dzGWH6kmE1yspypnQxFzHC2VqdhdZzKDyEcERpbE,442564337,2026-08-29T08:45:04.000Z,2026-08-29T08:45:07.565Z,1,,,0,,HELIUS_D1_RAW
6H7Am8HVK7xWrVvJXfXqLXEcwkFPz6dUb8NnHsn9vGDeMENiL9B6S63vTYR7g5foSsvpjPvjrdMLNarqmxbor7Q,442564698,2026-08-29T08:46:57.000Z,2026-08-29T08:47:00.419Z,1,,,0,,HELIUS_D1_RAW
5LESuUByTymh2HfxcDwDroFqNq4FHMs6g9WPeGErm53PyqPW2TgTX2F3eX51UJZDhDh9moXZm7SnEZc5mN7EPFDJ,442565456,2026-08-29T08:50:56.000Z,2026-08-29T08:50:58.734Z,1,,,0,,HELIUS_D1_RAW
4dcCXFX51eE94gCTh4PwB9yKK9bxrYLERr4fiJ6Jt8vsM8DVzmnsuECQ4hrW5uoj6r5aMZcmZwhwf5en36zKGyyd,442566036,2026-08-29T08:53:59.000Z,2026-08-29T08:54:00.914Z,1,,,0,,HELIUS_D1_RAW
5dGmQQ5EqGZ4rceu8i4bNP1VhLJZoLm68NeDDUMQwpnNUrUN5xzDifq16WnJ3E1iYRnDk38rqAydxZAtzkybbUem,442570709,2026-08-29T09:18:41.000Z,2026-08-29T09:18:43.485Z,1,,,0,,HELIUS_D1_RAW
2je1PuJgiyYVHEzDsVGpukdURG2ZdVgp7GVMEPQrwGChDzxkNnpfiZZxt8oZF98e2nnrZ9XJDvYieceHWgjuHJ2f,442576036,2026-08-29T09:46:54.000Z,2026-08-29T09:46:56.829Z,1,,,0,,HELIUS_D1_RAW
5uvHH2GjpXZGupxFvxHhxWGLCpZUjCfwKnQB9Sg5ygAM9juoueWLT33oFXAjgDJM2don1N3KUYmThVat9VXjYMmA,442588685,2026-08-29T10:53:34.000Z,2026-08-29T10:53:36.993Z,1,,,0,,HELIUS_D1_RAW
3TyFp8GxFPMnL5kCHY6kXE5iBrFtbAzsSnEcV4Qy7we4CPLb6EdGqoQBBRDb836GZLQc5xTWqLWLUh2E28uHHhAa,442592764,2026-08-29T11:15:03.000Z,2026-08-29T11:15:06.107Z,1,,,0,,HELIUS_D1_RAW
5UbNc57EF6HnJWtTvP1wguqeiCiyiCDaNCprsfr6p8tZdvTNNya4baaNWdrxV9R9tjiRwrgWpraVMwyPpQ1AzHK3,442627549,2026-08-29T14:18:40.000Z,2026-08-29T14:18:43.234Z,1,,,0,,HELIUS_D1_RAW
8SHjvVwZwFqk4tMbJ8M11QDLYmrsPQCeM3G8Yy8egSRyPBqVTgoR1e886PoWKf7XoxxQrA2zLwGBrBgPSxCgVxy,442630565,2026-08-29T14:34:36.000Z,2026-08-29T14:34:40.138Z,1,,,0,,HELIUS_D1_RAW
5RrQNBPH1vZ9ZMxSU2tdkakw8L5mmWptCjovgDLbj1Nq1wttoM1c6E4MCZ2kW94obVkBStECAtjPR2bpU85MsDRR,442633608,2026-08-29T14:50:48.000Z,2026-08-29T14:50:53.366Z,1,,,0,,HELIUS_D1_RAW
2ZsU3Tzi1HL3JMJfvxdDygNQ2FBb2YyaUxyAA4VrVhH2Xzi43xBq4amqh1VGE4sFjRHH7RQ1gaCqX35Km8szcKLr,442642739,2026-08-29T15:38:58.000Z,2026-08-29T15:39:01.364Z,1,,,0,,HELIUS_D1_RAW
2v733BYXnbJtQPvZEb7Pgkeu7Vh2pNEcbWR5YB5d1scN7VLnH9MGQKx4qu5M6wQCXqwGQjkSSEaLYcyCFwqsaMij,442652330,2026-08-29T16:29:50.000Z,2026-08-29T16:29:53.281Z,1,,QUEST_RESTART,5,,HELIUS_D1_RAW
4j7XEKaSAjieHXQN6KSyki8QM1gUcUtqZTwRsJdBspVAsHeht3MkWkPQRTcqkuub21rrkeCMnEU42FrPNjoihDDJ,442652356,2026-08-29T16:29:58.000Z,2026-08-29T16:30:03.248Z,1,,QUEST_RESTART,5,,HELIUS_D1_RAW
4Nuqkdp9aT4nJeCP967hSU1hPo8aXzRtFYZpHikKKAXrzSP5Qi99AvAG1K7C8BsTp3CKbDNvki6V9u7imfn9cYr2,442653292,2026-08-29T16:34:58.000Z,2026-08-29T16:35:03.277Z,1,,QUEST_RESTART,5,,HELIUS_D1_RAW
JHagDchy5vJHk5dknEY4T7pCWcGFviRFapeEULWmQMdJfQexHvJASvinunBwt9cyHxFKgmSoTB4cMmufvrSBF1P,442653296,2026-08-29T16:34:59.000Z,2026-08-29T16:35:03.376Z,1,,QUEST_RESTART,5,,HELIUS_D1_RAW
2RPjSpJQ5koz3oiAqaFVSXcrpbZdZw7FVP51cjF2jgCQ6cayiZ7vtueYohabd2ZvF2RgfqMiZ4AeJN8CGnK64m5d,442686696,2026-08-29T19:31:39.000Z,2026-08-29T19:31:43.065Z,1,,,0,,HELIUS_D1_RAW
4fVgN2Ldp7ijnYMHKenptNs3huVBkgAJB36tuXUDD9Gzt8MzWfXAD54fgsxjaXNxX12LzoMoowQYMweKivU7imVK,442695682,2026-08-29T20:19:07.000Z,2026-08-29T20:19:09.191Z,1,,,0,,HELIUS_D1_RAW
4NifaMFZBM11HCDgh4sgowkuRnYChGRGsDv9sxXCqrCECaQpjwth7TPXCqFvePK3FKpzb6TVjW8vp2325n5s6KNJ,442700838,2026-08-29T20:46:20.000Z,2026-08-29T20:46:22.744Z,1,,,0,,HELIUS_D1_RAW
