mint,token_account,first_observed_utc,last_observed_utc,is_current,source
1225TE3mJP3QwbJQez86V4KQ4pmvvvYbrku5SpP2Hi4f,AhUnZ6tYBEbFBXCKx2HE32kA6NasGDpRvz2TUyu2DbQA,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
122k5fGMjmt4EU1ZYeQcMxM2RssrouoBiQXrFaabweK6,8jJKnmBXbhw2o1zke2gDoJdCCK2phM8UG1JfeRHqJQLV,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
123PRH9KeaSs8shwU8MtPosAXmT9J1S7fYoB349Y4cf3,2SKi8HPwg7gaNkw2t6hSKmYr7e1sAh5h5rHFArtJxvt8,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
128oQRxmHsL2EA7yhgJhbK5paMtpq9UuwbkmU2mcgExb,5sJkzWkvSeSWAWtXHijogrsiMhhu81nRYTixV5djpQhW,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
12CRTbjKtEo1tqdZ7AjNtM2mcsV1JJzM5hWjqUszmbfJ,GYKdFHhXtpDQGXkrzztckD4hwyFtp61Eaby32s4mdYZo,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
12EbHu1b5yNzoxwriqDQd1Us11CBjbAqt4bj4AnMbyPm,2GD9jLq4s8zbnw3AfrprY8ZT4tWXqEL3mfQEciEyWfdq,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
12Gd2GJNHwvMs2GeEp9ueMyypzSKhphe3DPtyGmBppgr,H6XoYEWGd8cAbCyXZrbkNLbPci9Cj6VZC95Jp3HhZ1V9,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
12L6genwdjygXCcm4xEgCP7dmqU1i9XNSsvzqorSqHSp,BTqCTAzuCLfTY3rvNu1UWoxPuGszLeoBcj3o1vZPFfky,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
12MKvFCkC1FND8KFERJikEFYhRueJ4Qus4KhSkC2aWvx,9wFynhBUdPJZAaxvU7JFsyUHqAbBzqxaRV6JksJDwCDL,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
12MxJcQwCGBNt9MwzUHdDiF4TEjb6uPFCFBRCFPHyG1d,EUmDjiZTbPpazHnQB2QU2AwNxt3ChrDpjiqeCsrRUHrq,2026-08-29T01:58:29.082Z,2026-08-29T01:58:29.082Z,1,PHASE1L_ACTIVATION_FRONTIER
