snapshot_date,floor_open_sol,floor_high_sol,floor_low_sol,floor_close_sol,listed_count
2022-02-25,2.2,2.2,0.17,1.44,2176
2022-02-26,1.44,1.5,0.25,1.39,2058
2022-02-27,1.39,1.4,1.1,1.24,1951
2022-02-28,1.24,1.35,1.05,1.19,1855
2022-03-01,1.19,1.29,0.99,1.2,1721
2022-03-02,1.2,1.495,1.2,1.495,1511
2022-03-03,1.495,1.644,1.37,1.4,1407
2022-03-04,1.4,1.49,1.199,1.37,1443
2022-03-05,1.37,1.38,1.0,1.3,1325
2022-03-06,1.3,1.45,1.09,1.3,1329
2022-03-07,1.3,1.39,1.09,1.27,1310
2022-03-08,1.27,1.3,1.1,1.22,1323
2022-03-09,1.22,1.22,1.0,1.15,1319
2022-03-10,1.15,1.19,0.9,1.19,1256
2022-03-11,1.19,1.2,1.0,1.17,1218
2022-03-12,1.17,1.17,1.0,1.1,1211
2022-03-13,1.1,1.28,1.0,1.15,1241
2022-03-14,1.15,1.15,1.0,1.11,1230
2022-03-15,1.11,1.15,0.9,1.15,1226
2022-03-16,1.15,1.15,1.0,1.05,1223
2022-03-17,1.05,1.09,0.95,1.0,1233
2022-03-18,1.0,1.1,0.89,1.05,1189
2022-03-19,1.05,1.1,1.0,1.07,1171
2022-03-20,1.07,1.07,0.98,1.0,1197
2022-03-21,1.0,1.25,0.99,1.25,1105
2022-03-22,1.25,1.26,1.09,1.15,1103
2022-03-23,1.15,1.3,1.0,1.2,1084
2022-03-24,1.2,1.2,1.05,1.2,1088
2022-03-25,1.2,1.2,1.0,1.14,1096
2022-03-26,1.14,1.17,0.9,1.1,1122
2022-03-27,1.1,1.16,1.0,1.0,1120
2022-03-28,1.0,1.12,0.95,1.09,1116
2022-03-29,1.09,1.15,1.0,1.1,1103
2022-03-30,1.1,1.13,0.9,1.04,1117
2022-03-31,1.04,1.08,0.92,0.97,1144
2022-04-01,0.97,1.18,0.9,1.16,1056
2022-04-02,1.16,1.16,0.8,0.97,1080
2022-04-03,0.97,1.0,0.8,1.0,1069
2022-04-04,1.0,1.2,0.95,1.2,1006
2022-04-05,1.2,1.29,1.0,1.29,927
2022-04-06,1.29,1.5,1.2,1.43,862
2022-04-07,1.43,1.49,1.2,1.29,891
2022-04-08,1.29,1.29,1.1,1.265,923
2022-04-09,1.265,1.269,1.1,1.2,927
2022-04-10,1.2,1.269,0.99,1.16,943
2022-04-11,1.16,1.25,1.05,1.12,926
2022-04-12,1.12,1.2,1.0,1.2,924
2022-04-13,1.2,1.2,1.0,1.11,927
2022-04-14,1.11,1.35,1.1,1.35,884
2022-04-15,1.35,1.46,1.35,1.38,890
2022-04-16,1.38,1.38,1.1,1.22,896
2022-04-17,1.22,1.35,1.1,1.3,883
2022-04-18,1.3,1.49,1.3,1.34,832
2022-04-19,1.34,1.5,1.25,1.39,850
2022-04-20,1.39,1.54,1.3,1.4,846
2022-04-21,1.4,1.4,1.3,1.33,866
2022-04-22,1.33,1.39,1.29,1.299,868
2022-04-23,1.299,1.299,1.0,1.24,881
2022-04-24,1.24,1.25,1.08,1.15,876
2022-04-25,1.15,1.22,1.08,1.2,873
2022-04-26,1.2,1.25,1.0,1.24,861
2022-04-27,1.24,1.54,1.0,1.35,838
2022-04-28,1.35,1.465,1.05,1.4,824
2022-04-29,1.4,1.4,1.1,1.28,840
2022-04-30,1.28,1.385,1.15,1.385,834
2022-05-01,1.385,1.385,1.1,1.29,844
2022-05-02,1.29,1.29,0.9,1.2489,860
2022-05-03,1.2489,1.34,1.16,1.2,838
2022-05-04,1.2,1.385,0.9,1.35,816
2022-05-05,1.35,1.55,1.1,1.48,761
2022-05-06,1.48,1.5,1.3,1.35,814
2022-05-07,1.35,1.55,1.25,1.35,792
2022-05-08,1.35,1.65,1.35,1.5,756
2022-05-09,1.5,1.5,1.2,1.4,769
2022-05-10,1.4,1.4,1.25,1.4,784
2022-05-11,1.4,1.4,1.2,1.25,782
2022-05-12,1.25,1.29,1.0,1.29,753
2022-05-13,1.29,1.6,1.29,1.6,720
2022-05-14,1.6,1.6,1.1,1.45,725
2022-05-15,1.45,1.45,1.1,1.43,729
2022-05-16,1.43,1.43,1.29,1.3,739
2022-05-17,1.3,1.4,1.29,1.39,746
2022-05-18,1.39,1.4,1.3,1.3,741
2022-05-19,1.3,1.39,1.15,1.29,755
2022-05-20,1.29,1.3,1.1,1.29,773
2022-05-21,1.29,1.3,1.1,1.28,771
2022-05-22,1.28,1.4,1.28,1.4,776
2022-05-23,1.4,1.4,1.1,1.34,765
2022-05-24,1.34,1.34,1.2,1.3,760
2022-05-25,1.3,1.39,1.3,1.37,753
2022-05-26,1.37,1.37,1.2,1.24,753
2022-05-27,1.24,1.3,1.19,1.19,766
2022-05-28,1.19,1.24,1.05,1.24,767
2022-05-29,1.24,1.29,1.1,1.2,791
2022-05-30,1.2,1.25,1.18,1.24,787
2022-05-31,1.24,1.24,1.19,1.23,816
2022-06-01,1.23,1.5,1.22,1.47,722
2022-06-02,1.47,1.47,1.4,1.41,678
2022-06-03,1.41,1.41,1.25,1.25,672
2022-06-04,1.25,1.38,1.15,1.37,665
2022-06-05,1.37,1.37,1.33,1.33,660
2022-06-06,1.33,1.33,1.2,1.25,606
2022-06-07,1.25,1.25,0.77,1.2,603
2022-06-08,1.2,1.28,1.1,1.28,586
2022-06-09,1.28,1.28,1.1,1.249,572
